,Lambda,Alpha,W,D,J,Distance
0,0.0,[3.80000e-05 7.60000e-05 9.99773e-01 7.60000e-05 3.80000e-05],2.288615,4e-06,4e-06,2.288615
1,0.1,[0.137131 0.224557 0.276623 0.224557 0.137131],0.411562,0.012903,0.052769,0.411764
2,0.2,[0.128244 0.225974 0.291565 0.225974 0.128244],0.414252,0.012691,0.093003,0.414446
3,0.3,[0.142671 0.229978 0.254703 0.229978 0.142671],0.41365,0.013281,0.133392,0.413863
4,0.4,[0.146297 0.222008 0.26339  0.222008 0.146297],0.413281,0.013082,0.173161,0.413488
5,0.5,[0.13824  0.22708  0.269359 0.22708  0.13824 ],0.411007,0.013034,0.212021,0.411214
6,0.6,[0.134063 0.233604 0.264666 0.233604 0.134063],0.412356,0.013163,0.252678,0.412566
7,0.7,[0.125528 0.228627 0.29169  0.228627 0.125528],0.414179,0.012713,0.293739,0.414374
8,0.8,[0.130472 0.229524 0.280007 0.229524 0.130472],0.411444,0.012896,0.331735,0.411646
9,0.9,[0.128328 0.226637 0.290069 0.226637 0.128328],0.41369,0.012719,0.373593,0.413885
10,1.0,[0.132846 0.226784 0.28074  0.226784 0.132846],0.411554,0.01286,0.411554,0.411755
